,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoef,Symbol
2022-09-30,117.02,118.5,116.0,116.0,116.0,3363,0.0000,1.0,AMZ.FRK
2022-10-03,115.2,117.76,114.2,117.76,117.76,1345,0.0000,1.0,AMZ.FRK
2022-10-04,119.8,123.4,119.04,120.88,120.88,4557,0.0000,1.0,AMZ.FRK
2022-10-05,121.2,122.4,120.0,122.4,122.4,2029,0.0000,1.0,AMZ.FRK
2022-10-06,122.2,123.28,121.08,123.18,123.18,1485,0.0000,1.0,AMZ.FRK
2022-10-07,122.48,122.76,117.1,117.62,117.62,4256,0.0000,1.0,AMZ.FRK
2022-10-10,116.3,119.1,116.1,117.4,117.4,2448,0.0000,1.0,AMZ.FRK
2022-10-11,116.92,117.5,113.9,115.28,115.28,8258,0.0000,1.0,AMZ.FRK
2022-10-12,116.1,117.0,115.66,117.0,117.0,3413,0.0000,1.0,AMZ.FRK
2022-10-13,116.26,116.9,109.56,115.68,115.68,10674,0.0000,1.0,AMZ.FRK
2022-10-14,115.52,117.0,109.96,109.96,109.96,4082,0.0000,1.0,AMZ.FRK
2022-10-17,111.0,116.0,111.0,115.64,115.64,4126,0.0000,1.0,AMZ.FRK
2022-10-18,118.0,120.38,117.38,117.92,117.92,5504,0.0000,1.0,AMZ.FRK
2022-10-19,119.8,119.86,116.0,117.18,117.18,2987,0.0000,1.0,AMZ.FRK
2022-10-20,116.8,120.26,116.12,118.54,118.54,6594,0.0000,1.0,AMZ.FRK
2022-10-21,116.72,121.14,116.54,121.14,121.14,3675,0.0000,1.0,AMZ.FRK
2022-10-24,122.0,123.0,118.62,121.72,121.72,7443,0.0000,1.0,AMZ.FRK
2022-10-25,120.52,121.7,120.0,121.24,121.24,4635,0.0000,1.0,AMZ.FRK
2022-10-26,117.0,118.16,114.86,114.94,114.94,6089,0.0000,1.0,AMZ.FRK
2022-10-27,115.0,116.0,110.82,111.38,111.38,6613,0.0000,1.0,AMZ.FRK
2022-10-28,98.0,103.82,95.5,103.82,103.82,62977,0.0000,1.0,AMZ.FRK
2022-10-31,103.98,105.6,102.0,103.66,103.66,9608,0.0000,1.0,AMZ.FRK
2022-11-01,104.02,105.0,97.29,98.0,98.0,21386,0.0000,1.0,AMZ.FRK
2022-11-02,98.39,98.85,93.69,94.43,94.43,21692,0.0000,1.0,AMZ.FRK
2022-11-03,94.7,95.77,91.4,91.92,91.92,27574,0.0000,1.0,AMZ.FRK
2022-11-04,92.0,92.85,88.88,91.37,91.37,20868,0.0000,1.0,AMZ.FRK
2022-11-07,91.45,92.42,88.88,90.3,90.3,21957,0.0000,1.0,AMZ.FRK
2022-11-08,91.5,91.5,87.89,89.5,89.5,17200,0.0000,1.0,AMZ.FRK
2022-11-09,89.4,90.28,85.9,86.12,86.12,21614,0.0000,1.0,AMZ.FRK
2022-11-10,86.49,97.0,86.25,94.68,94.68,18012,0.0000,1.0,AMZ.FRK
2022-11-11,96.1,97.69,94.5,97.38,97.38,16920,0.0000,1.0,AMZ.FRK
2022-11-14,97.38,97.9,94.66,95.3,95.3,11660,0.0000,1.0,AMZ.FRK
2022-11-15,96.49,99.0,94.99,95.31,95.31,15857,0.0000,1.0,AMZ.FRK
2022-11-16,96.0,96.0,92.0,93.4,93.4,8034,0.0000,1.0,AMZ.FRK
2022-11-17,94.14,94.26,90.9,90.9,90.9,7288,0.0000,1.0,AMZ.FRK
2022-11-18,92.0,92.94,89.7,91.37,91.37,12696,0.0000,1.0,AMZ.FRK
2022-11-21,91.0,92.6,88.5,90.05,90.05,13658,0.0000,1.0,AMZ.FRK
2022-11-22,89.77,90.85,88.85,90.33,90.33,11449,0.0000,1.0,AMZ.FRK
2022-11-23,90.31,91.08,89.9,90.71,90.71,6827,0.0000,1.0,AMZ.FRK
2022-11-24,90.84,91.74,90.79,91.6,91.6,9597,0.0000,1.0,AMZ.FRK
2022-11-25,91.7,91.7,89.7,89.94,89.94,7610,0.0000,1.0,AMZ.FRK
2022-11-28,88.5,91.84,88.11,90.7,90.7,12657,0.0000,1.0,AMZ.FRK
2022-11-29,91.5,91.98,88.83,89.5,89.5,5412,0.0000,1.0,AMZ.FRK
2022-11-30,90.0,92.0,88.25,92.0,92.0,8127,0.0000,1.0,AMZ.FRK
2022-12-01,92.51,92.74,90.63,91.0,91.0,13285,0.0000,1.0,AMZ.FRK
2022-12-02,90.4,91.47,89.19,89.19,89.19,8056,0.0000,1.0,AMZ.FRK
2022-12-05,89.79,89.79,86.78,86.78,86.78,13283,0.0000,1.0,AMZ.FRK
2022-12-06,87.0,87.4,84.12,84.46,84.46,17966,0.0000,1.0,AMZ.FRK
2022-12-07,84.77,85.28,83.24,84.08,84.08,9643,0.0000,1.0,AMZ.FRK
2022-12-08,84.41,86.48,83.66,85.62,85.62,9188,0.0000,1.0,AMZ.FRK
2022-12-09,86.19,86.6,84.5,84.7,84.7,7797,0.0000,1.0,AMZ.FRK
2022-12-12,84.99,85.58,83.5,85.58,85.58,10836,0.0000,1.0,AMZ.FRK
2022-12-13,85.61,89.56,85.47,87.29,87.29,10144,0.0000,1.0,AMZ.FRK
2022-12-14,88.1,88.18,85.0,85.84,85.84,11015,0.0000,1.0,AMZ.FRK
2022-12-15,85.99,85.99,82.3,82.83,82.83,29265,0.0000,1.0,AMZ.FRK
2022-12-16,83.2,83.8,81.79,82.91,82.91,9492,0.0000,1.0,AMZ.FRK
2022-12-19,82.5,83.56,79.74,79.88,79.88,16921,0.0000,1.0,AMZ.FRK
2022-12-20,79.01,81.28,79.01,80.19,80.19,16130,0.0000,1.0,AMZ.FRK
2022-12-21,81.2,82.06,80.47,81.7,81.7,7962,0.0000,1.0,AMZ.FRK
2022-12-22,82.0,82.4,77.8,79.06,79.06,9874,0.0000,1.0,AMZ.FRK
