,Open,High,Low,Close,AdjClose,Volume,DividendAmount,SplitCoef,Symbol
2022-09-30,123.6,124.34,123.6,123.78,123.78,230,0.0000,1.0,IBM.FRK
2022-10-03,121.54,121.82,121.54,121.82,121.82,48,0.0000,1.0,IBM.FRK
2022-10-04,124.1,125.38,123.64,125.38,125.38,918,0.0000,1.0,IBM.FRK
2022-10-05,125.12,126.5,125.12,126.5,126.5,664,0.0000,1.0,IBM.FRK
2022-10-06,127.02,127.02,126.74,126.8,126.8,485,0.0000,1.0,IBM.FRK
2022-10-07,124.42,125.24,122.48,122.48,122.48,433,0.0000,1.0,IBM.FRK
2022-10-10,121.7,122.2,121.0,121.0,121.0,191,0.0000,1.0,IBM.FRK
2022-10-11,121.34,121.98,120.3,121.98,121.98,291,0.0000,1.0,IBM.FRK
2022-10-12,121.26,121.96,120.96,121.52,121.52,238,0.0000,1.0,IBM.FRK
2022-10-13,120.96,123.28,119.7,123.28,123.28,155,0.0000,1.0,IBM.FRK
2022-10-14,124.72,125.96,123.38,123.86,123.86,1963,0.0000,1.0,IBM.FRK
2022-10-17,123.74,123.84,123.72,123.84,123.84,981,0.0000,1.0,IBM.FRK
2022-10-18,124.82,124.88,124.0,124.0,124.0,495,0.0000,1.0,IBM.FRK
2022-10-19,125.28,125.84,124.96,124.96,124.96,71,0.0000,1.0,IBM.FRK
2022-10-20,129.18,130.5,128.24,130.5,130.5,1230,0.0000,1.0,IBM.FRK
2022-10-21,130.62,133.5,130.62,132.14,132.14,812,0.0000,1.0,IBM.FRK
2022-10-24,132.2,134.44,131.38,134.44,134.44,445,0.0000,1.0,IBM.FRK
2022-10-25,134.2,134.46,133.8,133.8,133.8,461,0.0000,1.0,IBM.FRK
2022-10-26,132.5,134.94,132.16,134.56,134.56,543,0.0000,1.0,IBM.FRK
2022-10-27,134.22,135.62,134.22,135.28,135.28,2321,0.0000,1.0,IBM.FRK
2022-10-28,134.4,139.38,134.4,139.38,139.38,832,0.0000,1.0,IBM.FRK
2022-10-31,138.52,140.0,138.52,140.0,140.0,1762,0.0000,1.0,IBM.FRK
2022-11-01,139.42,140.1,139.08,140.0,140.0,776,0.0000,1.0,IBM.FRK
2022-11-02,139.22,140.0,138.96,140.0,140.0,376,0.0000,1.0,IBM.FRK
2022-11-03,139.5,140.0,139.5,139.82,138.1672,577,0.0000,1.0,IBM.FRK
2022-11-04,137.7,137.88,137.26,137.26,135.6374,791,0.0000,1.0,IBM.FRK
2022-11-07,138.08,138.4,137.04,138.02,136.3884,2904,0.0000,1.0,IBM.FRK
2022-11-08,138.48,139.8,138.22,139.58,137.93,985,0.0000,1.0,IBM.FRK
2022-11-09,137.36,137.66,136.64,137.66,137.66,406,0.0000,1.0,IBM.FRK
2022-11-10,136.82,138.28,136.82,137.64,137.64,430,0.0000,1.0,IBM.FRK
2022-11-11,138.22,138.22,137.0,137.06,137.06,770,0.0000,1.0,IBM.FRK
2022-11-14,138.12,140.46,138.12,140.46,140.46,549,0.0000,1.0,IBM.FRK
2022-11-15,139.66,140.0,138.72,138.72,138.72,1261,0.0000,1.0,IBM.FRK
2022-11-16,138.76,138.98,138.76,138.82,138.82,140,0.0000,1.0,IBM.FRK
2022-11-17,139.22,139.44,138.88,138.9,138.9,157,0.0000,1.0,IBM.FRK
2022-11-18,140.78,143.0,140.22,143.0,143.0,1884,0.0000,1.0,IBM.FRK
2022-11-21,143.3,144.3,143.3,144.02,144.02,1803,0.0000,1.0,IBM.FRK
2022-11-22,142.8,144.42,142.1,144.42,144.42,2199,0.0000,1.0,IBM.FRK
2022-11-23,144.06,144.58,143.28,143.28,143.28,853,0.0000,1.0,IBM.FRK
2022-11-24,142.56,143.32,142.56,142.58,142.58,516,0.0000,1.0,IBM.FRK
2022-11-25,142.4,143.56,142.4,143.56,143.56,1972,0.0000,1.0,IBM.FRK
2022-11-28,142.66,142.66,141.02,141.96,141.96,508,0.0000,1.0,IBM.FRK
2022-11-29,141.02,142.62,141.02,141.04,141.04,27,0.0000,1.0,IBM.FRK
2022-11-30,141.48,141.6,140.86,140.86,140.86,154,0.0000,1.0,IBM.FRK
