,0
0,POOL.OQ
1,CHRW.OQ
2,AJG.N
3,CNP.N
4,AMCR.N
5,WM.N
6,BA.N
7,FOX.OQ
8,WY.N
9,MCD.N
10,HD.N
11,SPG.N
12,HBAN.OQ
13,QRVO.OQ
14,LVS.N
15,CTRA.N
16,ON.OQ
17,AIG.N
18,AIZ.N
19,CARR.N
20,EVRG.OQ
21,SMCI.OQ
22,COST.OQ
23,MCO.N
24,DIS.N
25,LULU.OQ
26,PAYX.OQ
27,AMD.OQ
28,REG.OQ
29,DHI.N
30,TRV.N
31,BIO.N
32,MOS.N
33,BWA.N
34,WDC.OQ
35,VTR.N
36,IVZ.N
37,ZBRA.OQ
38,AMAT.OQ
39,STX.OQ
40,FDS.N
41,KVUE.N
42,SYK.N
43,VRSN.OQ
44,TECH.OQ
45,NVR.N
46,JBL.N
47,BBWI.N
48,LOW.N
49,BSX.N
50,SYY.N
51,FCX.N
52,MAS.N
53,BEN.N
54,META.OQ
55,PAYC.N
56,EXPE.OQ
57,RJF.N
58,CL.N
59,VICI.N
60,CE.N
61,UNH.N
62,ARE.N
63,GEN.OQ
64,LLY.N
65,DAY.N
66,GRMN.N
67,PODD.OQ
68,ISRG.OQ
69,AVB.N
70,TPR.N
71,CBRE.N
72,CINF.OQ
73,WMB.N
74,EA.OQ
75,CPRI.N
76,TMUS.OQ
77,CB.N
78,TXN.OQ
79,MDLZ.OQ
80,BRO.N
81,BALL.N
82,PFG.OQ
83,KEYS.N
84,PCG.N
85,RL.N
86,JPM.N
87,TTWO.OQ
88,CDW.OQ
89,RMD.N
90,LNT.OQ
91,COO.OQ
92,CMG.N
93,PCAR.OQ
94,GNRC.N
95,CHTR.OQ
96,PWR.N
97,CCL.N
98,PM.N
99,SNA.N
100,UAL.OQ
101,ESS.N
102,KHC.OQ
103,BLDR.N
104,JBHT.OQ
105,CMI.N
106,PNR.N
107,CRL.N
108,DPZ.N
109,AGN.N^E20
110,DECK.N
111,HPQ.N
112,ROP.OQ
113,LW.N
114,TGT.N
115,NTAP.OQ
116,OXY.N
117,IR.N
118,TER.OQ
119,WAB.N
120,NOW.N
121,EXC.OQ
122,BR.N
123,EMN.N
124,AZO.N
125,TEL.N
126,FRT.N
127,DUK.N
128,KMI.N
129,DVN.N
130,RCL.N
131,VTRS.OQ
132,CAH.N
133,AAL.OQ
134,MKC.N
135,IEX.N
136,VLO.N
137,EXPD.N
138,LH.N
139,DRI.N
140,MAA.N
141,JNJ.N
142,COR.N
143,SHW.N
144,GD.N
145,SBAC.OQ
146,MPWR.OQ
147,COP.N
148,ORCL.N
149,AMP.N
150,NXPI.OQ
151,CPRT.OQ
152,TXT.N
153,T.N
154,MTCH.OQ
155,NDAQ.OQ
156,FFIV.OQ
157,LEN.N
158,CDNS.OQ
159,NVDA.OQ
160,WELL.N
161,PLD.N
162,ROST.OQ
163,MRK.N
164,WEC.N
165,MSCI.N
166,TMO.N
167,F.N
168,GEHC.OQ
169,LYB.N
170,IBM.N
171,IQV.N
172,VRTX.OQ
173,DXCM.OQ
174,PEP.OQ
175,AOS.N
176,BLK.N
177,HII.N
178,CVS.N
179,PH.N
180,NSC.N
181,MSFT.OQ
182,HWM.N
183,BAX.N
184,HUM.N
185,AXON.OQ
186,ZBH.N
187,TDY.N
188,GILD.OQ
189,EPAM.N
190,CMA.N
191,NOC.N
192,PNW.N
193,BFb.N
194,DE.N
195,HSY.N
196,GL.N
197,SLB.N
198,AWK.N
199,PKG.N
200,CPAY.N
201,ADI.OQ
202,MMC.N
203,IT.N
204,ECL.N
205,BXP.N
206,GE.N
207,ED.N
208,ALLE.N
209,OTIS.N
210,WFC.N
211,CTVA.N
212,FTV.N
213,AEE.N
214,PRU.N
215,DLTR.OQ
216,CF.N
217,NEE.N
218,FMC.N
219,ILMN.OQ
220,KLAC.OQ
221,AME.N
222,NUE.N
223,D.N
224,SJM.N
225,EMR.N
226,DVA.N
227,CMS.N
228,HPE.N
229,RHI.N
230,BDX.N
231,MGM.N
232,HUBB.N
233,ALGN.OQ
234,SRE.N
235,REGN.OQ
236,EFX.N
237,USB.N
238,CSGP.OQ
239,HCA.N
240,AVGO.OQ
241,DHR.N
242,NWSA.OQ
243,RTX.N
244,AAPL.OQ
245,CME.OQ
246,MRO.N
247,ADM.N
248,APD.N
249,FANG.OQ
250,WRB.N
251,AXP.N
252,CLX.N
253,DOV.N
254,FSLR.OQ
255,MTB.N
256,FDX.N
