,0
MAA.N,0.06999965420749973
ESS.N,0.05902870844328067
JBHT.OQ,7.950722799819167e-08
DOV.N,1.887102412938789e-08
VFC.N,3.298788197902047e-08
CMCSA.OQ,0.06999992629171857
PGR.N,4.766168279305615e-08
CMA.N,1.578665966689978e-08
MCD.N,1.3679965147065244e-07
APA.OQ,1.4145009645930448e-07
PPG.N,2.297670748869334e-08
MS.N,2.0552869841188e-08
ITW.N,2.1513632673996565e-08
FICO.N,3.1080221975369376e-08
FAST.OQ,6.455950332128753e-08
UPS.N,0.04327845262534372
HUM.N,0.05988333513615234
XRAY.OQ,7.90553621392476e-08
CPT.N,2.2808751146786315e-07
CPB.N,0.022740718379640777
TJX.N,4.4479967888917805e-08
BAX.N,0.0319965766476165
CAG.N,0.04795623645953755
WEC.N,0.06999991734592613
NTAP.OQ,0.06999999073168907
MRO.N,0.018023746532478763
CHRW.OQ,0.06999995888922937
SPG.N,7.341237340806274e-08
MTB.N,4.401403583210964e-08
ADI.OQ,0.06999997034415346
BLK.N,3.8805953446410304e-08
COP.N,0.026560033418744886
BEN.N,2.981204197530552e-08
HWM.N,1.0229743235012304e-08
NTRS.OQ,3.4138071871463724e-08
ETN.N,2.141723347381611e-08
CLX.N,0.06999993845443216
MSI.N,8.807207912688019e-08
MO.N,0.06999979454731357
CI.N,5.940270333937545e-08
DRI.N,6.928155644698354e-08
PHM.N,9.29010355991323e-09
JKHY.OQ,4.894661246128027e-08
GILD.OQ,0.06999998651306956
TFX.N,5.1959635925003815e-08
AON.N,1.6528051644482085e-08
SNA.N,2.0624897695534644e-08
NVR.N,3.183286771272931e-08
TXT.N,7.932736560450959e-09
EMR.N,5.832740980836155e-08
ADSK.OQ,6.882242467445345e-09
PTC.OQ,6.170569368398208e-09
WMT.N,0.03405312341456727
MKC.N,4.2495884559164135e-07
CMS.N,4.112581145606013e-08
ARE.N,2.948198875434775e-08
ABT.N,3.7800370019526894e-07
K.N,1.8155048510652566e-06
DE.N,2.2115258248416492e-08
HSIC.OQ,6.150449063216743e-08
KLAC.OQ,1.579999906460191e-08
AMAT.OQ,0.026475346445504304
NEM.N,1.9113980992774338e-08
RE.N,6.511324530635649e-08
