,0
MAA.N,0.00014603808386916088
ESS.N,0.00020252390764405667
JBHT.OQ,0.0001369790733193897
DOV.N,3.2644358401108495e-05
VFC.N,9.102716642708805e-05
CMCSA.OQ,0.06800785050458188
PGR.N,0.00019298981079387826
CMA.N,3.30973852451644e-05
MCD.N,0.00013727815191072956
APA.OQ,0.002237385664862912
PPG.N,7.40712579633601e-05
MS.N,1.2903652115909332e-06
ITW.N,7.488707208094549e-05
FICO.N,8.235144034252671e-06
FAST.OQ,0.00013658679657326732
UPS.N,0.0005915147186591111
HUM.N,0.00022852184807858902
XRAY.OQ,0.00035058284166266263
CPT.N,0.00014041765866761654
CPB.N,5.2477397014517994e-05
TJX.N,0.0001609156017277359
BAX.N,0.0697360269445659
CAG.N,0.00018142590159284875
WEC.N,0.00016276552623345042
NTAP.OQ,0.06998221992642659
MRO.N,0.06992048048588141
CHRW.OQ,0.06801531513989947
SPG.N,0.00023935677791024162
MTB.N,0.01833594047779872
ADI.OQ,0.06996369181548358
BLK.N,7.534905746867183e-05
COP.N,0.06998439752658168
BEN.N,4.9686165009892955e-05
HWM.N,7.65580161779287e-06
NTRS.OQ,8.014392839873642e-05
ETN.N,6.185572061198176e-05
CLX.N,0.0281404366810627
MSI.N,6.560680095531957e-05
MO.N,0.0003105276201762193
CI.N,6.692489799306523e-05
DRI.N,8.236484834247779e-06
PHM.N,3.8947380139080165e-05
JKHY.OQ,0.0001130964803546345
GILD.OQ,0.06997970647154349
TFX.N,0.00010374860526867575
AON.N,6.373417252214243e-05
SNA.N,6.510182488455065e-05
NVR.N,0.00011833678344947817
TXT.N,2.427310211879833e-05
EMR.N,0.0001332270959908302
ADSK.OQ,0.06724393207743949
PTC.OQ,0.006957199957452535
WMT.N,0.06114250534587178
MKC.N,0.00012278537693525884
CMS.N,3.993407749418635e-05
ARE.N,8.076177478182241e-05
ABT.N,0.06957046225626091
K.N,0.033724857858579725
DE.N,4.8800389033826665e-05
HSIC.OQ,0.00038209013092485757
KLAC.OQ,0.0698941360061488
AMAT.OQ,0.0699874774757238
NEM.N,0.011450953663835148
RE.N,0.0002885732040147219
